ship_type,ship_name,lon,lat,p_lon,p_lat,datetime,distance
Cargo,PAPUA,30.14679,59.89198,30.16134,59.88899,2016-12-14T18:43:03Z,878.0599293907889
Navigation,ST.-PETERSBURG PT LE,30.21639,59.8778,30.21639,59.8778,2016-12-20T11:11:04Z,0
Tug,SVIR,30.20872,59.88486,30.24499,59.91217,2016-12-14T10:09:03Z,3652.7964552546223
Tug,LOOKMAN,30.20623,59.89045,30.19512,59.88041,2016-12-20T09:31:04Z,1278.3511791120723
Navigation,35,30.04795,59.91144,30.04795,59.91144,2016-12-20T11:11:04Z,0
Navigation,36,30.04861,59.91244,30.04861,59.91244,2016-12-20T11:11:04Z,0
Tanker,KEILA,30.22369,59.90314,30.23283,59.91003,2016-12-18T21:43:03Z,921.1650244234647
Tanker,SBORSCHIK-1,30.20304,59.87408,30.18598,59.88235,2016-12-14T22:57:03Z,1325.0770120928103
Cargo,PRINCESSE OUI,30.00629,59.92061,30.02091,59.91763,2016-12-18T21:01:03Z,880.6069373887176
Tanker,SKAT,30.22872,59.89449,30.21099,59.87009,2016-12-20T08:07:03Z,2891.1113406259947
Cargo,ZHEN ZHU HAI,30.1947,59.87498,30.19516,59.87513,2016-12-15T12:21:04Z,30.648283105413814
Tug,VLADIVOSTOK,30.20419,59.87524,30.2042,59.87511,2016-12-16T00:43:03Z,14.48231446593205
Tug,MURMANSK,30.20618,59.87437,30.20612,59.87415,2016-12-13T18:05:04Z,24.718655400728014
Tug,C,30.27216,59.93028,30.27212,59.93031,2016-12-19T07:05:04Z,4.016284626030438
Tanker,ZANA,30.18725,59.88605,30.20629,59.88531,2016-12-19T12:59:03Z,1066.6076712669174
Tanker,RONDO,30.21942,59.89998,30.227,59.9057,2016-12-15T09:19:03Z,764.5223036550146
Tug,ELBRUS,30.02777,59.91627,30.05233,59.91124,2016-12-15T10:35:04Z,1480.5337358580687
Cargo,BOMAR VANQUISH,30.00003,59.92179,30.01528,59.91869,2016-12-13T18:51:03Z,918.1747427834598
Unspecified,BLACKPEARL 7.6V,30.25882,59.94172,30.25591,59.94064,2016-12-17T16:11:03Z,201.9446676547877
Tug,REDUT,30.49761,59.8551,30.49751,59.8552,2016-12-15T02:51:05Z,12.456808165985505
Tanker,BESIKTAS ICELAND,11.7997,57.67393,11.77922,57.66349,2016-12-13T11:35:05Z,1684.4281355172498
Cargo,ASTRORUNNER,11.62322,57.6118,11.65497,57.60032,2016-12-20T04:39:13Z,2284.4080453096476
Cargo,HANNA,11.7795,57.66417,11.80817,57.6785,2016-12-13T14:47:05Z,2336.1694971755187
Tug,SUPPLIER,11.82315,57.63467,11.80992,57.62333,2016-12-18T13:57:05Z,1488.3928585172227
Fishing,STELLA NOVA,11.6593,57.70704,11.65927,57.7071,2016-12-17T00:05:05Z,6.913360614630328
Tanker,SCORPIUS,11.70345,57.64573,11.74777,57.65641,2016-12-16T12:57:05Z,2895.246211317254
Cargo,FREESIA SEAWAYS,11.70891,57.64865,11.68233,57.62766,2016-12-16T21:43:08Z,2822.7711173145835
Cargo,MAGNOLIA SEAWAYS,11.68972,57.62883,11.66525,57.61156,2016-12-16T06:05:05Z,2413.2929525431605
